"","genes","log2FoldChange","pvalue","sig"
"184","PAPOLB",0.00198570414217247,0.0973534756310409,"No significant"
"185","KRAS",-0.0054574424765983,0.300274004332841,"No significant"
"186","DDX12",-0.00712002114131849,0.245245009959972,"No significant"
"187","LOC641989",-0.0116841385228117,0.793002835213855,"No significant"
"188","HMGN1",-0.175780213496813,5.12952374335301,"Down regulated"
"189","LMBRD1",-0.0666388041788508,0.753006701429985,"No significant"
"190","LOC649945",0.0134141930980736,1.00404927319982,"No significant"
"191","LOC653751",0.010938968066446,0.568446553163625,"No significant"
"192","MRPL43",0.0104777547385924,0.407184086681643,"No significant"
"193","LOC644829",0.00304701502195837,0.140130014726926,"No significant"
"194","DHX9",-0.0130186774748022,1.22304198636852,"No significant"
"195","LRBA",-0.00505181611749972,0.198428708461786,"No significant"
"196","PNKD",0.0191241341429009,0.473356216155192,"No significant"
"197","DVL2",0.0347385589430314,1.57663782318018,"No significant"
"198","LOC729196",0.0183216758804363,0.71958876536921,"No significant"
"199","GUCY1B2",0.00348924697281294,0.187134201378827,"No significant"
"200","LOC649159",0.00536398256040993,0.205328515035478,"No significant"
"201","CDKN2C",-0.00925758541338872,0.350104550405938,"No significant"
"202","FLJ41733",-0.00340550785657001,0.139483808858237,"No significant"
"203","KIF2B",-0.00861145888341319,0.455668841846971,"No significant"
"204","IL4R",0.101236842192767,1.73607809319813,"Up regulated"
"205","KIAA1632",0.0147584854266576,1.43849152739058,"No significant"
"206","CTAG1A",0.00107746473865156,0.0524928864314242,"No significant"
"207","CCM2",-0.145947435186937,3.37953858709497,"Down regulated"
"208","LOC642113",0.046968180974936,0.198570793704661,"No significant"
"209","LOC645785",-0.0140532658775232,1.1329059987504,"No significant"
"210","COX4I1",-0.101328540208218,3.61411807406814,"Down regulated"
"211","LOC731432",-0.00461304880337998,0.266006894137602,"No significant"
"212","LOC644310",-0.0205378558005913,1.36394884542675,"No significant"
"213","LOC440080",0.00741437649065357,0.598236876572463,"No significant"
"214","C20orf112",0.00720169168627294,0.238210357260226,"No significant"
"215","WDR91",0.0401236951503261,1.75017125281128,"No significant"
"216","LOC647361",-0.386731859954244,5.68125208102391,"Down regulated"
"217","LOC732313",0.00361115789018562,0.232585344785452,"No significant"
"218","CBR3",-0.0323527603035076,1.6103632451775,"No significant"
"219","LOC643206",0.0121221001561054,0.385682405270119,"No significant"
"220","POPDC3",0.000535420763652539,0.0236681843004105,"No significant"
"221","KIAA0363",0.00528407055710023,0.281100386692412,"No significant"
"222","PPP2R4",-0.00236253569780942,0.124172146308795,"No significant"
"223","LOC644311",-0.0167398874063656,1.5973589989593,"No significant"
"224","MAGEA3",0.00247167906067425,0.0977113285440163,"No significant"
"225","SECTM1",0.00491668936963041,0.154342872385267,"No significant"
"226","FBXO32",0.0418341479617972,1.39916548230651,"No significant"
"227","NOG",0.00818757530742076,0.452210287213392,"No significant"
"228","EVX2",-0.00843662962147995,0.57695139337212,"No significant"
"229","LOC642468",0.0152004439907172,0.867076919935211,"No significant"
"230","MEGF10",0.064873566434013,0.702515919734293,"No significant"
"231","TTC8",0.00161131569774575,0.0454050840177384,"No significant"
"232","RNF215",0.00214654876372933,0.0937669841044869,"No significant"
"233","SPAG1",-0.0126390052155143,0.665931624688307,"No significant"
"234","LOC642528",0.0155907027997344,1.23679038577225,"No significant"
"235","KCTD5",0.0829479717753969,3.84907487441787,"No significant"
"236","FN3KRP",-0.0335358043783849,0.526263798128676,"No significant"
"237","LOC649143",-0.0114602517790505,0.841517605650611,"No significant"
"238","FLJ46481",0.00432661182353655,0.191279291560727,"No significant"
"239","PDHX",-0.0627014960814982,3.16821129239583,"No significant"
"240","NLRP7",0.00943432730450855,0.478183202259056,"No significant"
"241","LOC647247",0.0111108429863371,0.544261249305953,"No significant"
"242","ERCC1",-0.00574466847333799,0.288153427965198,"No significant"
"243","KIAA1324L",-0.0150143436723482,0.609553448723481,"No significant"
"244","IPO7",-0.00623276497413539,0.311111495751345,"No significant"
"245","SUCLG2",-0.075853229317504,1.96871539419539,"No significant"
"246","SIGLEC5",0.0428113874421037,1.28830076974903,"No significant"
"247","DCHS2",-0.00966569606167589,0.753477057375283,"No significant"
"248","RAB2A",-0.0670209523527827,3.04765038551405,"No significant"
"249","ZMYND8",-0.00516337162042735,0.123968415966736,"No significant"
"250","SPATA7",-0.00805004045683688,0.2026542282187,"No significant"
"251","PHKB",0.00373364951524824,0.0995094440909868,"No significant"
"252","UCN2",0.00319846865901408,0.141911690236745,"No significant"
"253","DC36",0.00840951111020516,0.361541689104385,"No significant"
"254","LOC642268",-0.00248383803667274,0.129392655239783,"No significant"
"255","CA1",-0.0301480538228116,0.0851009660468328,"No significant"
"256","MTHFD2L",-0.0155612622769947,0.911231023920069,"No significant"
"257","LOC646029",-0.00815073655609666,0.534249222589679,"No significant"
"258","KRTAP3-1",-0.00658321766836689,0.337250782607881,"No significant"
"259","RAC1",-0.00284881751313204,0.115909074173107,"No significant"
"260","LOC647509",0.0188512315228779,1.05185969150387,"No significant"
"261","TMEM98",-0.0103060044980765,0.656204678213568,"No significant"
"262","LOC654161",0.0454539805064966,3.05867971676853,"No significant"
"263","PARD3B",-0.00337277277088521,0.203959870652465,"No significant"
"264","TUBA3E",-0.0187754451882007,1.39886703631914,"No significant"
"265","SLC26A4",-0.000952789501190487,0.0431358941039293,"No significant"
"266","LOC648302",0.00115809619623075,0.0620171395368097,"No significant"
"267","BRAF",-0.00720446946054043,0.345647896689719,"No significant"
"268","THAP7",0.0494349149980042,1.8867186562928,"No significant"
"269","RIOK1",-0.0129399226942981,0.655568136140278,"No significant"
"270","MANSC1",0.0942309754043755,1.32134538326461,"No significant"
"271","FAM139A",0.00555585052964069,0.30662077770191,"No significant"
"272","APEX2",0.0470959639129251,1.64939705389295,"No significant"
"273","C2CD2",-0.00851561970391401,0.235417760286564,"No significant"
"274","MTMR9",-0.0628624156276505,1.5838740574835,"No significant"
"275","FAM125B",0.0518389613700876,1.37983115609888,"No significant"
"276","DKFZp434K191",0.0286218437214192,0.36529082142938,"No significant"
"277","RELL2",0.0592063676461558,5.35402838385682,"No significant"
"278","DTNA",0.00467395511015312,0.280149497276363,"No significant"
"279","USP32",-0.00737254357314221,0.225379935701769,"No significant"
"280","POLD1",0.0281517032362046,1.06575249293221,"No significant"
"281","ACTR5",0.0171951571766584,0.50234063191816,"No significant"
"282","C11orf35",0.0213705707915084,1.41703660460588,"No significant"
"283","GGT1",0.0162629302916359,1.14056973019285,"No significant"
"284","RGNEF",0.00462403816325274,0.209659296702183,"No significant"
"285","LOC375295",0.0102325265236738,0.727221928902609,"No significant"
"286","C9orf19",0.0813165448985345,2.02854925934898,"No significant"
"287","LRRC58",-0.0104622615513925,0.374844758241075,"No significant"
"288","LOC652173",-0.00878457786134135,0.373020098964659,"No significant"
"289","INPP4A",0.0332663238104134,2.10466211200857,"No significant"
"290","LOC643722",-0.000881972413002252,0.0418373248697267,"No significant"
"291","SH3KBP1",-0.0440460378070284,0.797121981528809,"No significant"
"292","LOC647357",-0.0054624636073628,0.298214829910199,"No significant"
"293","GRB10",0.00370615402559427,0.167546187627002,"No significant"
"294","LOC647049",-0.0206149544440359,2.29302763139118,"No significant"
"295","LLGL2",0.00056507035430986,0.0205142240934914,"No significant"
"296","FAM89A",0.0238543943837479,1.31995109267591,"No significant"
"297","LOC652616",-0.0407077168085586,0.261277696874541,"No significant"
"298","LOC642595",0.00731441554627832,0.518865401968815,"No significant"
"299","LOC440104",-0.00841948345968291,0.617749367268177,"No significant"
"300","LOC202134",0.0020617196014685,0.0972193290569571,"No significant"
"301","SHH",0.00214719467924862,0.0913646451283013,"No significant"
"302","FAM131B",-0.0159644850509357,0.905751452913609,"No significant"
"303","LOC647102",0.00416481464184582,0.185407162515453,"No significant"
"304","FLJ20972",-0.00907786866929872,0.587360898390764,"No significant"
"305","LOC648815",0.00749390436830577,0.242547753523416,"No significant"
"306","C10orf111",0.00602075438892591,0.359399220452568,"No significant"
"307","TMCO5",0.0312671116243326,0.887616662696586,"No significant"
"308","LOC648758",-0.00480775214442897,0.11082006867794,"No significant"
"309","C14orf2",-0.226163509642245,7.92199498723271,"Down regulated"
"310","GLT8D1",-0.0020656109125321,0.107546435357769,"No significant"
"311","HTR7",0.00715970481352191,0.357623776828606,"No significant"
"312","RFXAP",0.0269363453773188,1.38614970111152,"No significant"
"313","RPS6KA3",-0.0872823280313018,3.46192941029044,"No significant"
"314","LOC642257",-0.00217495173216253,0.121730096827325,"No significant"
"315","LOC644631",0.0142828217464155,1.43059446726209,"No significant"
"316","ERF",-0.0174215398873372,0.331769375186219,"No significant"
"317","PAAF1",-0.00131820247400505,0.0229235521418384,"No significant"
"318","ZNF428",-0.0760489111051648,2.05385364645172,"No significant"
"319","LOC643878",0.00181355154203811,0.0957482796831535,"No significant"
"320","LOC647579",0.0116534711398479,0.539159526646426,"No significant"
"321","HIC2",0.0395952868098828,2.26176635708686,"No significant"
"322","LOC389203",-0.00788649224562299,0.469584949305518,"No significant"
"323","LOC440589",0.0312693356883376,0.701172969699573,"No significant"
"324","CDC42EP2",0.000974905944099547,0.00972028580246534,"No significant"
"325","MUCDHL",0.00775036056955614,0.572820401212046,"No significant"
"326","PIK3AP1",-0.0514155816738091,1.30234293786429,"No significant"
"327","CLK1",-0.0229734490785782,1.44992681418624,"No significant"
"328","LOC400451",0.00262277428097235,0.0994596501229219,"No significant"
"329","LOC441873",0.0038119611222216,0.199233456040115,"No significant"
"330","ATP5J",-0.273991592627517,16.3541037827273,"Down regulated"
"331","HOXA3",-0.00296604865365246,0.159605862661001,"No significant"
"332","LOC643191",0.00604707138608074,0.380614549497094,"No significant"
"333","OPA3",0.0406138747426343,2.47439178900503,"No significant"
"334","IL10RA",0.115132710131423,3.44010007478629,"Up regulated"
"335","LRRC17",0.00442944737697726,0.288297151815034,"No significant"
"336","LOC644010",0.00600650590125884,0.40933989647869,"No significant"
"337","PCYT2",0.0129469024480793,0.520831985571111,"No significant"
"338","GAS2",0.00330958238481838,0.15130304925205,"No significant"
"339","LOC653569",0.00677027956498222,0.340484801607415,"No significant"
"340","BAIAP2",0.00804947610702822,0.331518260179386,"No significant"
"341","LMX1B",0.00801631407911163,0.504488546438531,"No significant"
"342","UBOX5",0.0264684611986148,1.43467944008646,"No significant"
"343","FLJ00312",-0.00687556145610113,0.433990478879133,"No significant"
"344","C8orf30A",-0.00495346341637859,0.313937522818178,"No significant"
"345","GBGT1",0.117859368349933,2.49295410994313,"Up regulated"
"346","CDC5L",-0.0968328451431066,5.36158278706892,"No significant"
"347","EZH2",-0.0157461624045823,1.23020273937198,"No significant"
"348","RHOF",0.0390837464769973,1.47033487290338,"No significant"
"349","LOC641851",-0.00610961013740141,0.346833352616588,"No significant"
"350","ORAI2",0.0578130091208848,3.06580408118995,"No significant"
"351","POGZ",0.0200278242841563,0.557885838281129,"No significant"
"352","LOC644672",0.00369265621532477,0.104301645894105,"No significant"
"353","PRRG3",-0.00649910234191786,0.42156510277071,"No significant"
"354","LOC647060",-0.000773934692106515,0.0304994670552892,"No significant"
"355","MGC16703",-0.00612758640285627,0.314975451959088,"No significant"
"356","LOC387804",0.00885536999615777,0.724957296334714,"No significant"
"357","LOC648622",-0.895700968601387,10.7533570334353,"Down regulated"
"358","ABCD2",-0.0081426989015263,0.438311348280571,"No significant"
"359","LOC390332",-0.000328347648734351,0.0161492171835299,"No significant"
"360","ZNF479",0.00821746606352303,0.570503184274715,"No significant"
"361","DLK1",0.00307727832659754,0.167127521524426,"No significant"
"362","LOC652191",0.00587422146916872,0.340804643864982,"No significant"
"363","LOC23117",0.00772995406485055,0.429929088883292,"No significant"
"364","NUP160",-0.0134725673286429,0.219829291249361,"No significant"
"365","LOC649745",-0.00368491872181664,0.240143583569569,"No significant"
"366","NBPF10",0.00835480275059997,0.599086819138964,"No significant"
"367","CABLES1",0.00751320555357893,0.258689693101029,"No significant"
"368","PLAC8",-0.0558845973657842,0.717453114867325,"No significant"
"369","COL4A1",0.00528263482162039,0.22330638844833,"No significant"
"370","LOC653766",0.0171470452297076,1.22998552564241,"No significant"
"371","LOC644679",0.000879808100723523,0.046332588621777,"No significant"
"372","LOC642934",-0.120486748271023,2.13712609403509,"Down regulated"
"373","PCDHGA12",-0.0063683190753272,0.403173379771657,"No significant"
"374","HSD3B7",0.00926214451850349,0.351551793873612,"No significant"
"375","DHX40",-0.0101395591145206,0.351009585889533,"No significant"
"376","ATP6V0C",0.0132373024863419,0.630673072550511,"No significant"
"377","LOC221981",0.0148898600657104,0.854851103535726,"No significant"
"378","OR10Q1",0.00732316652963672,0.437420757296686,"No significant"
"379","LOC650549",0.00107259382898128,0.0538982363853042,"No significant"
"380","C20orf152",0.00290568245889045,0.130193595950444,"No significant"
"381","LOC650677",0.013280332702589,1.11994800748889,"No significant"
"382","ECH1",0.0841675450462844,1.70549947511227,"No significant"
"383","ST6GAL1",-0.0129313018730164,0.636822219880077,"No significant"
"384","PER1",-0.00667505622268205,0.14931322404728,"No significant"
"385","HERC2P2",0.00532986037705374,0.323701000319837,"No significant"
"386","CSTF2",0.00460552094065747,0.0902123730686202,"No significant"
"387","TMEM188",0.0396263066431004,0.513908807220445,"No significant"
"388","ECD",0.0152438572486044,0.499406187985812,"No significant"
"389","MSH4",-0.00765867120219532,0.611518229174029,"No significant"
"390","KIAA1957",-0.00451985453527559,0.269308489898599,"No significant"
"391","SNCG",0.00634564426816642,0.257433168361756,"No significant"
"392","ZSCAN2",0.00438323479774372,0.195751906369743,"No significant"
"393","AAMP",-0.0231307027454228,0.774485900556104,"No significant"
"394","CLEC10A",-0.000871116468110777,0.0229991420656381,"No significant"
"395","TPM4",-0.00785739459555757,0.136837334048451,"No significant"
"396","LOC731196",0.0392787705786484,2.66090568966963,"No significant"
"397","GTF2I",-0.00837331870782698,0.481386964484164,"No significant"
"398","LOC643695",0.0132113840092876,0.415833854973246,"No significant"
"399","SLC22A17",0.0206102088051043,0.55522723849761,"No significant"
"400","EFEMP2",0.0416552902013905,2.59284412794567,"No significant"
"401","C8orf59",-0.207511195508879,5.85604726771728,"Down regulated"
"402","LOC441662",-0.00270734447227561,0.137760202754508,"No significant"
"403","ZWINT",-0.00150832918666666,0.0486178518230346,"No significant"
"404","ATP1B4",0.000580496294424471,0.0234886662662454,"No significant"
"405","PITPNM1",0.197736048401987,7.08173766575979,"Up regulated"
"406","C3orf22",-0.000346200778114536,0.0162829303243693,"No significant"
"407","GPRIN1",-0.00156302279967591,0.0567157983458434,"No significant"
"408","DNAJB14",0.0646626660822971,0.85209842670448,"No significant"
"409","GPR26",0.00407626273368678,0.168446528154917,"No significant"
"410","NUDT10",0.0012276611223534,0.0613489144796404,"No significant"
"411","LOC645276",0.00886040536677957,0.412817162908036,"No significant"
"412","MUC20",0.0236079569907162,0.827641811688936,"No significant"
"413","LCE2A",-0.010429685365513,0.747145687323184,"No significant"
"414","APP",0.00385140036902776,0.18536931671602,"No significant"
"415","PFKFB4",0.195393016957686,4.32151502913355,"Up regulated"
